"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","604","testGetUserNameInformationAgainstMock","Surefire suite","Mon May 11 17:43:20 UTC 2026","passed","Mon May 11 17:43:20 UTC 2026","GitHubConnectorTest","Surefire test","GitHubConnectorTest","testGetUserNameInformationAgainstMock"
"","0","testCloseTo","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","testCloseTo"
"","0","testInitializedSimpleMaths","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMaths"
"","1","mapHasKey","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","mapHasKey"
"","1","checkName","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","PersonTest","Surefire test","PersonTest","checkName"
"","0","testAddNegative","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testAddNegative"
"","0","testMultiply","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testMultiply"
"","132","checkPropertyLastname","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastname"
"","4","testDivisionByZero","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","MathsTest","Surefire test","MathsTest","testDivisionByZero"
"","0","checkSurname","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","PersonTest","Surefire test","PersonTest","checkSurname"
"","2","testAdd","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","testAdd"
"","473","testGetUserNameInformationAgainstGitHub","Surefire suite","Mon May 11 17:43:19 UTC 2026","passed","Mon May 11 17:43:20 UTC 2026","GitHubConnectorTest","Surefire test","GitHubConnectorTest","testGetUserNameInformationAgainstGitHub"
"","3","Shows the usage of the delta parameter.","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","1","testAdd","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testAdd"
"","7","checkPropertyLastnameWithValue","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastnameWithValue"
"","0","testMultiplyNegative","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testMultiplyNegative"
"","0","testNotGreaterThan","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","0","testGreaterThan","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","1063","testAddition","Surefire suite","Mon May 11 17:43:20 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","MathsTest","Surefire test","MathsTest","testAddition"
"","1","mapHasEntry","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","mapHasEntry"
"","1","testDivideZero","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testDivideZero"
"","2","testConcating","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","testConcating"
"","0","testFac","Surefire suite","Mon May 11 17:43:18 UTC 2026","passed","Mon May 11 17:43:18 UTC 2026","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testFac"
"","12","testEquals","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","RelationsTest","Surefire test","RelationsTest","testEquals"
"","0","mapHasValue","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","mapHasValue"
"","1","testAdd","Surefire suite","Mon May 11 17:43:21 UTC 2026","passed","Mon May 11 17:43:21 UTC 2026","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","0","testDivide","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testDivide"
"","1171","testAckermannStackOverflow","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:18 UTC 2026","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermannStackOverflow"
"","1","testSquareRootOfMinusOneIsNotANumber","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","testSquareRootOfMinusOneIsNotANumber"
"","0","getCircleAreaRadiusFromDataProvider","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","1","testAckermannDisabled","Surefire suite","Mon May 11 17:43:16 UTC 2026","unknown","Mon May 11 17:43:16 UTC 2026","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermannDisabled"
"","1","checkTypeCompatibility","Surefire suite","Mon May 11 17:43:22 UTC 2026","passed","Mon May 11 17:43:22 UTC 2026","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
"","0","testNegativeFac","Surefire suite","Mon May 11 17:43:18 UTC 2026","passed","Mon May 11 17:43:18 UTC 2026","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testNegativeFac"
"","1","testDivideNegative","Surefire suite","Mon May 11 17:43:16 UTC 2026","passed","Mon May 11 17:43:16 UTC 2026","SimpleMathsTest","Surefire test","SimpleMathsTest","testDivideNegative"
