"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testAdd","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","2","mapHasEntry","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasEntry"
"","1","testSquareRootOfMinusOneIsNotANumber","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testSquareRootOfMinusOneIsNotANumber"
"","0","testMultiply","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","124","testAckermann","Surefire suite","Mon Feb 10 18:34:45 GMT 2025","passed","Mon Feb 10 18:34:45 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","testFac","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
"","1","mapHasValue","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasValue"
"","0","testDivide","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","1","mapHasKey","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasKey"
"","1","testAddNegative","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","1","testDivideNegative","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideNegative"
"","1","testInitializedSimpleMath","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","1","testCloseTo","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testCloseTo"
"","1","checkTypeCompatibility","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
"","2","testConcating","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testConcating"
"","33","checkPropertyLastname","Surefire suite","Mon Feb 10 18:34:46 GMT 2025","passed","Mon Feb 10 18:34:46 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastname"
"","10","testEquals","Surefire suite","Mon Feb 10 18:34:45 GMT 2025","passed","Mon Feb 10 18:34:45 GMT 2025","RelationsTest","Surefire test","RelationsTest","testEquals"
