"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testMultiplyNegative","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiplyNegative"
"","3","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","11","testEquals","Surefire suite","Thu Feb 06 22:26:42 GMT 2025","passed","Thu Feb 06 22:26:42 GMT 2025","RelationsTest","Surefire test","RelationsTest","testEquals"
"","0","testDivideNegative","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideNegative"
"","0","testNegativeFac","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","0","testFac","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
"","0","testMultiply","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","1","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","0","testNotGreaterThan","Surefire suite","Thu Feb 06 22:26:42 GMT 2025","passed","Thu Feb 06 22:26:42 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","1","testDivideZero","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideZero"
"","1","testAckermannDisabled","Surefire suite","Thu Feb 06 22:26:41 GMT 2025","unknown","Thu Feb 06 22:26:41 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannDisabled"
"","1307","testAckermannStackOverflow","Surefire suite","Thu Feb 06 22:26:42 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannStackOverflow"
"","1","testAdd","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","2","testConcating","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testConcating"
"","7","checkTypeCompatibility","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
"","1","testAddNegative","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","1","Shows the usage of the delta parameter.","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","0","testAdd","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","1","testSquareRootOfMinusOneIsNotANumber","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testSquareRootOfMinusOneIsNotANumber"
"","2","testAdd","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testAdd"
"","0","testDivide","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","122","testAckermann","Surefire suite","Thu Feb 06 22:26:42 GMT 2025","passed","Thu Feb 06 22:26:42 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","0","testGreaterThan","Surefire suite","Thu Feb 06 22:26:42 GMT 2025","passed","Thu Feb 06 22:26:42 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","0","testInitializedSimpleMath","Surefire suite","Thu Feb 06 22:26:43 GMT 2025","passed","Thu Feb 06 22:26:43 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
