"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testInitializedSimpleMath","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","1","testFac","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
"","1","testSquareRootOfMinusOneIsNotANumber","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testSquareRootOfMinusOneIsNotANumber"
"","0","testAdd","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","0","testNotGreaterThan","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","passed","Mon Feb 10 20:06:51 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","0","testNegativeFac","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","0","testDivideNegative","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideNegative"
"","912","testAckermannStackOverflow","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannStackOverflow"
"","1","mapHasEntry","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasEntry"
"","2","testAdd","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testAdd"
"","1","Shows the usage of the delta parameter.","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","2","testConcating","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testConcating"
"","1","testDivideZero","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideZero"
"","1","checkTypeCompatibility","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
"","103","testAckermann","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","passed","Mon Feb 10 20:06:51 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","testAddNegative","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","0","testDivide","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","3","getCircleAreaRadiusFromDataProvider","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","0","testMultiplyNegative","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiplyNegative"
"","0","mapHasValue","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasValue"
"","6","checkPropertyLastnameWithValue","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastnameWithValue"
"","2","testAckermannDisabled","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","unknown","Mon Feb 10 20:06:51 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannDisabled"
"","1","testCloseTo","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testCloseTo"
"","1","testAdd","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","0","testMultiply","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","2","mapHasKey","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasKey"
"","12","testEquals","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","passed","Mon Feb 10 20:06:51 GMT 2025","RelationsTest","Surefire test","RelationsTest","testEquals"
"","0","testGreaterThan","Surefire suite","Mon Feb 10 20:06:51 GMT 2025","passed","Mon Feb 10 20:06:51 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","0","getCircleAreaRadiusFromDataProvider","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","65","checkPropertyLastname","Surefire suite","Mon Feb 10 20:06:52 GMT 2025","passed","Mon Feb 10 20:06:52 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastname"
