"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testDivide","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","0","testMultiply","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","10","testEquals","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","passed","Thu Feb 06 20:52:20 GMT 2025","RelationsTest","Surefire test","RelationsTest","testEquals"
"","1","testAckermannDisabled","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","unknown","Thu Feb 06 20:52:20 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannDisabled"
"","1","testAdd","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","1","testInitializedSimpleMath","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","0","testNegativeFac","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","1","testNotGreaterThan","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","passed","Thu Feb 06 20:52:20 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","1","testAdd","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","0","testDivideNegative","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideNegative"
"","0","testAddNegative","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","1","Shows the usage of the delta parameter.","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","92","testAckermann","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","passed","Thu Feb 06 20:52:20 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","testDivideZero","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideZero"
"","1035","testAckermannStackOverflow","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannStackOverflow"
"","0","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","0","testGreaterThan","Surefire suite","Thu Feb 06 20:52:20 GMT 2025","passed","Thu Feb 06 20:52:20 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","2","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","0","testMultiplyNegative","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiplyNegative"
"","1","testFac","Surefire suite","Thu Feb 06 20:52:21 GMT 2025","passed","Thu Feb 06 20:52:21 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
