"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testFac","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testFac"
"","2","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:44:01 GMT 2025","passed","Thu Feb 06 20:44:01 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","1","testAdd","Surefire suite","Thu Feb 06 20:44:01 GMT 2025","passed","Thu Feb 06 20:44:01 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","0","testDivideZero","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivideZero"
"","0","testMultiply","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiply"
"","0","testAdd","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","0","testNotGreaterThan","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","78","testAckermann","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","Shows the usage of the delta parameter.","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","1","testAckermannDisabled","Surefire suite","Thu Feb 06 20:43:59 GMT 2025","unknown","Thu Feb 06 20:43:59 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannDisabled"
"","1","testInitializedSimpleMath","Surefire suite","Thu Feb 06 20:44:01 GMT 2025","passed","Thu Feb 06 20:44:01 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","12","testGreaterThan","Surefire suite","Thu Feb 06 20:43:59 GMT 2025","passed","Thu Feb 06 20:43:59 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","0","testMultiplyNegative","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testMultiplyNegative"
"","0","testNegativeFac","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","0","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Feb 06 20:44:01 GMT 2025","passed","Thu Feb 06 20:44:01 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","892","testAckermannStackOverflow","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermannStackOverflow"
"","0","testAddNegative","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","1","testDivide","Surefire suite","Thu Feb 06 20:44:00 GMT 2025","passed","Thu Feb 06 20:44:00 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
