"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testInitializedSimpleMath","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMath"
"","0","testNotGreaterThan","Surefire suite","Mon Feb 10 20:05:06 GMT 2025","passed","Mon Feb 10 20:05:06 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","1","mapHasValue","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasValue"
"","196","testAckermann","Surefire suite","Mon Feb 10 20:05:06 GMT 2025","passed","Mon Feb 10 20:05:06 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testAckermann"
"","1","testNegativeFac","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","AdvancedMathTest","Surefire test","AdvancedMathTest","testNegativeFac"
"","12","testEquals","Surefire suite","Mon Feb 10 20:05:06 GMT 2025","passed","Mon Feb 10 20:05:06 GMT 2025","RelationsTest","Surefire test","RelationsTest","testEquals"
"","1","testDivide","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testDivide"
"","1","testAdd","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testAdd"
"","1","testConcating","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testConcating"
"","1","getCircleAreaRadiusFromDataProvider","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","1","testAddNegative","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAddNegative"
"","0","testCloseTo","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testCloseTo"
"","0","testAdd","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","SimpleMathTest","Surefire test","SimpleMathTest","testAdd"
"","1","checkTypeCompatibility","Surefire suite","Mon Feb 10 20:05:07 GMT 2025","passed","Mon Feb 10 20:05:07 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
