"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","mapHasEntry","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasEntry"
"","0","testMultiplyNegative","Surefire suite","Thu Apr 24 20:16:27 GMT 2025","passed","Thu Apr 24 20:16:27 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testMultiplyNegative"
"","1","Shows the usage of the delta parameter.","Surefire suite","Thu Apr 24 20:16:27 GMT 2025","passed","Thu Apr 24 20:16:27 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","0","testInitializedSimpleMaths","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","AnnotationTest","Surefire test","AnnotationTest","testInitializedSimpleMaths"
"","6","checkPropertyLastnameWithValue","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkPropertyLastnameWithValue"
"","1","testMultiply","Surefire suite","Thu Apr 24 20:16:27 GMT 2025","passed","Thu Apr 24 20:16:27 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testMultiply"
"","1","testDivide","Surefire suite","Thu Apr 24 20:16:27 GMT 2025","passed","Thu Apr 24 20:16:27 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testDivide"
"","0","testAdd","Surefire suite","Thu Apr 24 20:16:27 GMT 2025","passed","Thu Apr 24 20:16:27 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testAdd"
"","331","testGetUserNameInformationAgainstGitHub","Surefire suite","Thu Apr 24 20:16:26 GMT 2025","passed","Thu Apr 24 20:16:26 GMT 2025","GitHubConnectorTest","Surefire test","GitHubConnectorTest","testGetUserNameInformationAgainstGitHub"
"","1","testNotGreaterThan","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","RelationsTest","Surefire test","RelationsTest","testNotGreaterThan"
"","0","testNegativeFac","Surefire suite","Thu Apr 24 20:16:25 GMT 2025","passed","Thu Apr 24 20:16:25 GMT 2025","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testNegativeFac"
"","2","checkTypeCompatibility","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","checkTypeCompatibility"
"","0","testGreaterThan","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","passed","Thu Apr 24 20:16:22 GMT 2025","RelationsTest","Surefire test","RelationsTest","testGreaterThan"
"","1","testAckermannDisabled","Surefire suite","Thu Apr 24 20:16:22 GMT 2025","unknown","Thu Apr 24 20:16:22 GMT 2025","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermannDisabled"
