"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","testGetUserNameInformationAgainstMock","Surefire suite","Thu Apr 24 21:22:52 GMT 2025","passed","Thu Apr 24 21:22:52 GMT 2025","GitHubConnectorTest","Surefire test","GitHubConnectorTest","testGetUserNameInformationAgainstMock"
"","0","Shows the usage of the delta parameter.","Surefire suite","Thu Apr 24 21:22:53 GMT 2025","passed","Thu Apr 24 21:22:53 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleArea"
"","1300","testAddition","Surefire suite","Thu Apr 24 21:22:47 GMT 2025","passed","Thu Apr 24 21:22:48 GMT 2025","MathsTest","Surefire test","MathsTest","testAddition"
"","3","getCircleAreaRadiusFromDataProvider","Surefire suite","Thu Apr 24 21:22:53 GMT 2025","passed","Thu Apr 24 21:22:53 GMT 2025","GeometryTest","Surefire test","GeometryTest","getCircleAreaRadiusFromDataProvider"
"","2","mapHasEntry","Surefire suite","Thu Apr 24 21:22:47 GMT 2025","passed","Thu Apr 24 21:22:47 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","mapHasEntry"
"","3","testAdd","Surefire suite","Thu Apr 24 21:22:47 GMT 2025","passed","Thu Apr 24 21:22:47 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testAdd"
"","208","testAckermann","Surefire suite","Thu Apr 24 21:22:48 GMT 2025","passed","Thu Apr 24 21:22:48 GMT 2025","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermann"
"","1","testSquareRootOfMinusOneIsNotANumber","Surefire suite","Thu Apr 24 21:22:47 GMT 2025","passed","Thu Apr 24 21:22:47 GMT 2025","HamcrestTest","Surefire test","HamcrestTest","testSquareRootOfMinusOneIsNotANumber"
"","945","testAckermannStackOverflow","Surefire suite","Thu Apr 24 21:22:48 GMT 2025","passed","Thu Apr 24 21:22:49 GMT 2025","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermannStackOverflow"
"","1","testAckermannDisabled","Surefire suite","Thu Apr 24 21:22:46 GMT 2025","unknown","Thu Apr 24 21:22:46 GMT 2025","AdvancedMathsTest","Surefire test","AdvancedMathsTest","testAckermannDisabled"
"","1049","testGetUserNameInformationAgainstGitHub","Surefire suite","Thu Apr 24 21:22:51 GMT 2025","passed","Thu Apr 24 21:22:52 GMT 2025","GitHubConnectorTest","Surefire test","GitHubConnectorTest","testGetUserNameInformationAgainstGitHub"
"","0","testAdd","Surefire suite","Thu Apr 24 21:22:53 GMT 2025","passed","Thu Apr 24 21:22:53 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testAdd"
"","0","testAddNegative","Surefire suite","Thu Apr 24 21:22:53 GMT 2025","passed","Thu Apr 24 21:22:53 GMT 2025","SimpleMathsTest","Surefire test","SimpleMathsTest","testAddNegative"
